"Software","Ring","Quadrant","Description"
DynamoDB,Employ,Platforms,"<p> Amazon DynamoDB is a fully managed NoSQL database service provided by Amazon Web Services (AWS). It is designed for developers who need a highly available and scalable database solution for their applications. DynamoDB is known for its speed, flexibility, and seamless integration with other AWS services</p>"
AWS Elastic Container Registry,Employ,Development Tools and Automation,"<p>Amazon Elastic Container Service, is a fully managed container orchestration service provided by Amazon Web Services (AWS). It enables you to easily deploy, manage, and scale containerized applications using Docker containers on a highly scalable and reliable infrastructure.</p>
"
AWS RDS,Explore,Platforms,"<p>Amazon Relational Database Service (RDS) is a collection of managed services that makes it simple to set up, operate, and scale databases in the cloud.</p>"
AWS S3,Employ,Data Management,<p>Amazon S3 or Amazon Simple Storage Service is a service offered by Amazon Web Services that provides object storage through a web service interface. Amazon S3 uses the same scalable storage infrastructure that Amazon.com uses to run its global e-commerce network</p>
Anaconda,Employ,Languages and Frameworks,"<p>Anaconda is an open-source distribution of Python and R programming languages for data science, machine learning, and scientific computing. </p>"
OMTOOL,Inactive,Platforms,"<p>an enterprise document routing solution that integrates with existing mail systems; document management systems and records management systems; multifunction devices and other network hardware such as fax machines, scanners, and copiers; enterprise database applications; and other enterprise business applications</P>"
uploadprogress,Employ,Platforms,<p> an extension for the PHP programming language that is used to track the progress of file uploads. This extension is specifically designed to provide detailed information about the status and progress of files as they are being uploaded to a web server.</p>
Angular,Deprecate,Languages and Frameworks,<p>Angular is a platform for building mobile and desktop web applications</p>
Power BI Report Server,Deprecate,Analytics and Business Intelligence,"<p>an on-premises solution offered by Microsoft as part of the Power BI platform. It allows organizations to host, manage, and distribute Power BI reports and dashboards within their own private network or data center.</p>"
Apache Pinot,Explore,Data Management,"<p>An open-source distributed data analytics and real-time processing platform designed to handle large volumes of data with low latency. Apache Pinot is a column-oriented, open-source, distributed data store written in Java. Pinot is designed to execute OLAP queries with low latency. It is suited in contexts where fast analytics, such as aggregations, are needed on immutable data, possibly, with real-time data ingestion.</p>"
YII Framework,Employ,Platforms,"<p>an open-source, high-performance PHP web application framework designed to simplify and accelerate web development. </p>"
REDIS,Employ,Platforms,"<p> an open-source, in-memory data store that is widely used as a caching mechanism and data storage system. It is known for its speed, simplicity, and versatility, making it a popular choice for a variety of use cases in modern software development.</P>"
JBoss Application Server,Employ,Platforms,"<p>an open-source Java-based application server developed by Red Hat, Inc. It is part of the larger JBoss Enterprise Middleware portfolio</p>"
React Hook Form,Employ,Languages and Frameworks,"<p>an open-source library for managing form state and validation in React applications. It is built on top of React hooks, which are a feature introduced in React 16.8 for managing component state and side effects. </p>"
Jasper iReports,Retire,Analytics and Business Intelligence,"<p>an open-source reporting library and software tool that allows developers to create dynamic, pixel-perfect Jasper Reports in various formats, such as PDF, HTML, and Excel."
SAMBA,Employ,Platforms,"<p> an open-source software suite that enables file and print services to be shared between Windows, Linux, macOS, and other Unix-like operating systems over a network. It allows systems running different operating systems to seamlessly share files and printers as if they were part of the same network, bridging the gap between Windows and non-Windows systems.</p>"
PrimeFaces,Employ,Languages and Frameworks,"<p>an open-source user interface (UI) component library for JavaServer Faces (JSF), a popular Java web application framework. It provides a collection of pre-built UI components and widgets that can be easily integrated into JSF-based web applications, allowing developers to create modern and visually appealing user interfaces.</p>"
Ansible,Explore,Development Tools and Automation,"<p>Ansible is an open-source software provisioning, configuration management, and application-deployment tool enabling infrastructure as code. IIT uses ansible to automate infrastructure and software installations.</P>"
Payara Server,Employ,Platforms,"<p>A open-source, enterprise-grade application server that is compatible with the Java EE (Enterprise Edition) and Jakarta EE (formerly Java EE) specifications. It is designed to host and manage Java applications, including web applications, enterprise applications, and microservices, in production environments.</p>"
Ant,Retire,Development Tools and Automation,"<p>Apache Ant is a Java library and command-line tool used to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile, assemble, test and run Java applications. Ant was widely used to support build for legacy IIT applications but has been largely replaced by Maven.</p>"
Maven,Employ,Development Tools and Automation,"<p>Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. This is the current IIT standard for build.</p>"
Apache Tomcat,Employ,Platforms,"<p>Apache Tomcat® is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies. Apache Tomcat is the middleware platform for all Oracle Fusion Middleware applications under transformation and all net new java based applications.</p>"
NGINX,Employ,Platforms,"<p>a popular open-source web server, reverse proxy server, and load balancer. It is known for its high performance, scalability, and versatility in serving web content and handling various networking tasks. </p>"
R,Employ,Languages and Frameworks,"<p>a programming language and environment specifically designed for statistical analysis, data visualization, and data manipulation. It is widely used by data scientists, statisticians, and researchers for tasks such as data analysis, machine learning, and statistical modeling.</p>"
Artifactory,Employ,Development Tools and Automation,<p>Artifactory is a Binary Repository Manager product from Jfrog. IIT uses Artifactory in both mode 1 and mode 2 development models to track dependencies and library management.</p>
Shell Script,Employ,Languages and Frameworks,"<p>A shell script is a computer program designed to be run by the Unix shell, a command-line interpreter.</p>"
JNBridge,Deprecate,Platforms,"<p> a software technology and toolset that provides interoperability solutions for integrating Java and .NET (C#) applications. It allows Java and .NET code to communicate and interact seamlessly, enabling developers to build hybrid applications that leverage the strengths of both technologies</p>"
Confluence,Employ,Management and Monitoring,<p>Atlassian Confluence is a knowledge management system</p>
IIS,Employ,Platforms,<p>a web server software developed by Microsoft for hosting and serving web content and applications on Windows Server operating systems</p>
IBM HTTP Server (IHS),Deprecate,Platforms,"<p>a web server software product developed by IBM. It is designed to serve web content and applications and is often used as a front-end web server in conjunction with other IBM software products, including WebSphere Application Server</p>"
HAPI HL7,Employ,Platforms,<p>A widely used Java library for working with HL7 (Health Level Seven) messages and healthcare data exchange in the context of healthcare information technology  </P>
AWS ECS,Employ,Platforms,"<p>AWS ECS is a fully managed container orchestration service that allows you to run and manage Docker containers at scale. It provides a platform for deploying, managing, and scaling containerized applications. ECS handles the infrastructure and cluster management, making it a foundational component for running containerized workloads in the AWS cloud </p>"
AWS Elastic Beanstalk,Explore,Platforms,"<p>AWS Elastic Beanstalk is an orchestration service offered by Amazon Web Services for deploying applications which orchestrates various AWS services, including EC2, S3, Simple Notification Service, CloudWatch, autoscaling, and Elastic Load Balancers.</p>"
AWS Fargate,Employ,Platforms,"<p>AWS Fargate is a serverless container orchestration service provided by Amazon Web Services (AWS). It allows you to run containers without having to manage the underlying infrastructure. With Fargate, you can deploy and manage Docker containers as tasks, and AWS handles the infrastructure provisioning, scaling, and maintenance. </p>"
AWS Secrets Manager,Employ,Management and Monitoring,"<p> AWS Secrets Manager is a service provided by Amazon Web Services (AWS) that helps you protect access to your applications, services, and IT resources without the upfront investment and on-going maintenance costs of operating your infrastructure. It enables you to rotate, manage, and retrieve sensitive credentials, such as database passwords, API keys, and other secrets, securely.</p>"
Payara Micro,Employ,Platforms,"Payara Micro Community is the open source, lightweight middleware platform of choice for containerized Jakarta EE (Java EE)  application deployments."
Azul Open JDK,Employ,Languages and Frameworks,"<p>Azul Zulu provides a stable and reliable version of OpenJDK with long-term support, making it suitable for enterprise applications and organizations that require a certified and well-maintained Java runtime environment. </p>"
Blazor,Employ,Platforms,<p>Blazor is an open-source web framework developed by Microsoft that allows developers to build interactive and dynamic web applications using C# and .NET instead of JavaScript. It enables the development of single-page applications (SPAs) and web applications with rich user interfaces while leveraging the power of the .NET ecosystem.</p>
CICS,Retire,Platforms,<p>CICS is a general-purpose transaction processing subsystem for the z/OS operating system</p>
Azure Storage Services,Employ,Data Management,<p> Cloud file storage in Azure </p>
CMDBuild,Employ,Management and Monitoring,"<p>CMDBuild is a Configuration Managment System - it can be used to track the status of individual IT infrastructure components (often called Configuration Items, or CIs) and their relationships</p>"
Cobol,Retire,Languages and Frameworks,<p>COBOL is a compiled English-like computer programming language designed for business use</p>
HIVE,Employ,Management and Monitoring,<p>Common service for log aggregation and search</p>
Crystal Reports,Retire,Analytics and Business Intelligence,<p>Crystal Reports is a business intelligence application marketed to small- and medium-sized businesses by SAP</p>
Dataguard,Employ,Development Tools and Automation,"<p>Data Guard is a high-availability and disaster recovery solution provided by Oracle for its database management system. It is designed to ensure the availability, reliability, and data protection of Oracle databases by creating and maintaining a standby database that can take over in the event of a primary database failure. </p>"
Datanomics,Employ,Data Management,"<p>Data quality management environment, used to understand, improve, protect and govern data quality.</p>"
DB2,Retire,Platforms,"<p>Db2 is a family of data management products, including database servers, developed by IBM. They initially supported the relational model, but were extended to support object–relational features and non-relational structures like JSON and XML.</p>"
Dependabot,Employ,Development Tools and Automation,"<p> Dependabot is a tool for automating the management of dependencies in software projects. It helps ensure that the libraries and packages your project relies on are kept up-to-date with the latest versions and security patches. Dependabot works with various package managers and programming languages, making it a versatile choice for many development environments.</p>"
GitHub CodeQL,Employ,Development Tools and Automation,"<p>Discover vulnerabilities across a codebase with CodeQL, our industry-leading semantic code analysis engine. CodeQL lets you query code as though it were data. Write a query to find all variants of a vulnerability, eradicating it forever. Then share your query to help others do the same.</p>"
Docker,Employ,Platforms,<p>Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. </p>
Drupal,Employ,Platforms,<p>Drupal is a free and open-source web content management system (CMS) written in PHP</p>
Mainframe SOCKC,Retire,Platforms,<p>efers to the SOCKC (Socket Connector) protocol or component used in the context of mainframe computing. SOCKC is often associated with mainframe-based networking and communication.</p>
Sparx EA,Deprecate,Management and Monitoring,"<p>Enterprise Architect helps you trace high-level specifications to analysis, design, implementation, test and maintenance models using UML, SysML, BPMN and other open standards. IIT transitioned to EA from Designer during ISSS development. An assessment is currently underway to determine IIT future usage of EA. ER Studio is emerging as a new data model repository tool.</p>"
Orbus,Inactive,Management and Monitoring,<p>ER Studio is IIT's emerging replacement for Oracle Designer and Enterprise Architect for managing relational data models.</p>
Microsoft OneDrive,Explore,Data Management,"<p> File hosting service and synchronization service operated by Microsoft which BC Government is utilizing, waiting for final decision on this by OCIO </p>

"
Github Actions,Employ,Development Tools and Automation,"<p>GitHub Actions is a continuous integration and continuous delivery (CI/CD) platform that allows you to automate your build, test, and deployment pipeline</p>"
GitHub Secrets,Employ,Management and Monitoring,"<p> GitHub Actions Secrets, are a way to securely store sensitive information or environment variables that are used in GitHub Actions workflows. These secrets are encrypted and can be accessed by your workflows during their execution, ensuring that sensitive data like API tokens, passwords, or other authentication credentials are kept safe. </p>"
GitHub,Employ,Development Tools and Automation,"<p>Github offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project. Github is the IIT standard for source control. The province has two organizations registered with github called bcgov and BCDevOps</p>"
GlassFish Application Server,Retire,Platforms,"<p>GlassFish is an open-source Jakarta EE platform application server project started by Sun Microsystems, then sponsored by Oracle Corporation</p>"
HAPROXY,Employ,Platforms,"<p>HAProxy is a free, very fast and reliable solution offering high availability, load balancing, and proxying for TCP and HTTP-based applications.</p>"
Vault,Employ,Management and Monitoring,"<p> HashiCorp Vault provides capabilities to secure, store and tightly control access to tokens, passwords, certificates, encryption keys for protecting credentials and other sensitive data using a UI, CLI, or HTTP API. </p>"
Symphonia,Inactive,Platforms,<p>HL7v2 validation software</P>
Hyperic Server,Retire,Management and Monitoring,<p>Hyperic is a cross platform monitoring system which is designed to monitor and control server resources. </p>
IBM Initiate,Employ,Platforms,"<p>IBM Initiate is a enterprise master patient index, which ensures patient data is correct and consistent throughout the organization regardless of which system is being updated</p>"
MQSeries,Deprecate,Platforms,"<p>IBM MQ is a family of message-oriented middleware products. It allows independent and potentially non-concurrent applications on a distributed system to securely communicate with each other, using messages.</p>"
VAGEN,Inactive,Platforms,"<p>IBM VAGEN is a tool used in the context of IBM mainframe systems and application development. VAgen stands for ""Virtual Application Generator,"" and it is a part of IBM's CICS (Customer Information Control System) software suite.</p>"
IMS,Retire,Platforms,<p>IMS is a message-based transaction manager and hierarchical-database manager for z/OS</p>
InfoSphere Master Data Management (MDM),Employ,Platforms,"<p>InfoSphere Master Data Management (MDM) is a software solution developed by IBM that enables organizations to manage and govern their business data, often referred to as master data, in a centralized and standardized manner. Health master data typically includes information about providers or citizens, and other core entities that are essential to deliver health care. InfoSphere MDM helps organizations achieve data consistency, accuracy, and a single version of the truth across the enterprise.</p>"
Camel,Employ,Platforms,<p>Integration Broker for Health Business Services </p>
OWASP Zap,Employ,Development Tools and Automation,"<p> is an open-source security testing tool designed to help find security vulnerabilities in web applications during the development and testing phases. It is one of the many valuable projects under the Open Web Application Security Project (OWASP) umbrella, which focuses on improving the security of software.</p>"
EJB3,Deprecate,Languages and Frameworks,<p>Jakarta Enterprise Beans (EJB; formerly Enterprise JavaBeans) is one of several Java APIs for modular construction of enterprise software. EJB is a server-side software component that encapsulates business logic of an application</p>
Jakarta Faces,Employ,Languages and Frameworks,"<p>Jakarta Faces defines an MVC framework for building user interfaces for web applications, including UI components, state management, event handling, input validation, page navigation, and support for internationalization and accessibility.</p>"
JasperReports Server,Retire,Analytics and Business Intelligence,"<p>JasperReports Server is a stand-alone and embeddable reporting server. It provides reporting and analytics that can be embedded into a web or mobile application as well as operate as a central information hub for the enterprise by delivering mission critical information on a real-time or scheduled basis to the browser, mobile device, or email inbox in a variety of file formats. This is the standard reports engine for IIT.</p>"
Java,Employ,Languages and Frameworks,"<p>Java is a class-based, object-oriented and general purpose programming language. Add IIT Context.</p>"
Oracle JAVA,Inactive,Languages and Frameworks,"<p>Java is a high-level, general-purpose programming language and computing platform developed by Sun Microsystems, which is now owned by Oracle Corporation.</p>"
Jenkins,Deprecate,Development Tools and Automation,"<p>Jenkins is a popular open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project. Jenkins is widely used in IIT for build and deployment automation, in both mode 1 and mode 2 development patterns.</p>"
Jira,Employ,Management and Monitoring,<p>Jira is a issue tracking product developed by Atlassian that allows bug tracking and agile project management.</p>
JUnit,Employ,Development Tools and Automation,<p>JUnit is a unit testing framework for the Java programming language. </p>
KeePass,Deprecate,Management and Monitoring,"<p>KeePass is a free and open source, light-weight and easy-to-use password manager primarily for windows. By default KeePass database is stored on local file systems. IIT currently uses KeePass for some credential management. IIT is actively replacing its use of keepass with Vault Hashicorp</p>"
Keycloak,Employ,Platforms,"<p>Keycloak is an open source Identity and Access Management solution aimed at modern applications and services. It makes it easy to secure applications and services with little to no code. Projects being developed on the Openshift platform in the DevExchange are largely using Keycloak, and IIT is currently assessing Keycloak as a replacement for WebADE.</p>"
Log4j,Employ,Management and Monitoring,<p>Log4j is a logging library for Java. It improves on other logging libraries by providing greater extensibility and reliability.</p>
Multi-Master Replication,Inactive,Platforms,<p>Log-Based Change Data Capture w/ Transactional Integrity</p>
Java Message Broker,Retire,Platforms,<p>Messaging middleware or message broker system built on Java technologies. A message broker is a software component that facilitates communication and data exchange between different applications or components in a distributed computing environment.</p>
Application Lifecycle Management,Deprecate,Development Tools and Automation,<p>Micro Focus Application Lifecycle Management is a set of software tools developed and marketed by Micro Focus for application development and testing. Should be replaced by Zephyr  or Xray</P>
MS Access,Retire,Platforms,<p>Microsoft Access is a database management system from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools.</p>
MS Biztalk,Inactive,Platforms,<p>Microsoft BizTalk Server is an inter-organizational middleware system that automates business processes through the use of adapters which are tailored to communicate with different software systems used in an enterprise.</p>
MicroStrategy BI,Deprecate,Analytics and Business Intelligence,"<p>MicroStrategy is an enterprise business intelligence (BI) application that supports interactive dashboards, scorecards, highly formatted reports, ad hoc query, thresholds and alerts, and automated report distribution.  This should be converted to PowerBI</p>"
Moodle,Employ,Management and Monitoring,<p>Moodle is a free and open-source learning management system written in PHP and distributed under the GNU General Public License.</p>
MYSQL,Employ,Platforms,<p>MySQL is an open-source relational database management system (RDBMS) that is stewarded by Oracle Corporation. IIT uses MySQL as an open source data store for COTS applications where PostgreSQL is not an option.</p>
.NET Core,Employ,Languages and Frameworks,"<p>.NET Core is a free and open-source, managed computer software framework for Windows, Linux, and macOS operating systems. It is a cross-platform successor to.NET Framework.</p>"
Node.js,Employ,Languages and Frameworks,"<p>Node.js is an open-source, cross-platform, JavaScript runtime environment (Framework) that executes JavaScript code outside a web browser. Node.js represents a ""JavaScript everywhere"" paradigm unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts. Need IIT context.</p>"
XBASE++,Inactive,Platforms,<p> object-oriented programming language and development environment primarily used for creating desktop and client-server applications. It is known for its compatibility with the dBASE programming language and its ability to create database-driven software solutions.</p>
Dell Object Store,Explore,Data Management,"<p> Object Storage Service is for Ministry Clients (Hosted within Government DataCentres) to store data as objects using standard protocols including S3, NFS, and HTTP </p>"
OC4J Application Server,Inactive,Platforms,"</p>OC4J (Oracle Containers for J2EE) was a Java EE (Java Platform, Enterprise Edition) application server developed by Oracle Corporation. It was part of the Oracle Application Server suite and provided a runtime environment for deploying and running Java EE applications.</p>"
Visual Studio Code,Employ,Languages and Frameworks,"<p>open-source code editor developed by Microsoft. It is designed to be a lightweight yet powerful tool for software development, supporting a wide range of programming languages and development workflows.  </p>"
Patroni,Employ,Platforms,"<p>Open-source high-availability (HA) solution for PostgreSQL, a popular open-source relational database management system (RDBMS). It is designed to provide automated failover and high availability for PostgreSQL database clusters, ensuring that database services remain available in the event of server failures or other issues.</p>"
OpenSSL,Employ,Development Tools and Automation,"<p>OpenSSL is a software library for applications that secure communications over computer networks against eavesdropping or need to identify the party at the other end. It is widely used by Internet servers, including the majority of HTTPS websites.</p>"
APEX,Deprecate,Languages and Frameworks,<p>Oracle APEX is a proprietary web-based integrated development environment developed by Oracle Corporation for creating and managing Oracle databases and other related database functionality.</p>
Oracle Database,Employ,Platforms,<p>Oracle database is a relational database management system (RDBMS) from the Oracle Corporation. Oracle has been widely used by MoH and continues to be a supported platform. The Oracle database is licensed by the number of cores on the hosting server.  Should not be used for anything new</p>
Oracle Forms,Inactive,Platforms,"<p>Oracle Forms, a component of Oracle Fusion Middleware, is Oracle's tool for creating and generating forms. This technology has been deprecated by IIT in favor of Orbeon Forms.</p>"
Oracle Fusion Middleware,Retire,Platforms,"<p>Oracle Fusion Middleware is a middlware platform used by a large majority of legacy IIT applications. It includes the Weblogic java server, the Unified Business and SOA suites (ISSS applications only) and Oracle Forms and Reports (deprecated). Tomcat is preferred over OFM.</p>"
OHS,Inactive,Platforms,<p>Oracle HTTP Server</p>
OID,Inactive,Platforms,<p>Oracle Internet Directory</p>
Oracle OPEN JDK,Inactive,Languages and Frameworks,"<p>Oracle OpenJDK, also known as Oracle's Open Source Java Development Kit, is a distribution of the Java Development Kit (JDK) that is provided and maintained by Oracle as part of the open-source community. OpenJDK is the official reference implementation of the Java Platform, Standard Edition (Java SE) specifications, and Oracle's OpenJDK distribution is one of several available distributions of OpenJDK.</p>"
Oracle Reports,Inactive,Analytics and Business Intelligence,"<p>Oracle Reports, a component of Oracle Fusion Middleware, is Oracle's enterprise reporting tool. This technology has been deprecated by IIT.</p>"
Oracle REST Data Services (ORDS),Retire,Platforms,"<p>Oracle REST Data Services (ORDS) is a free, open-source tool developed by Oracle Corporation that enables users to turn their Oracle databases into RESTful web services. ORDS provides a set of features and capabilities that allow developers and organizations to expose data and database operations via a RESTful API</p>"
Oracle Solaris,Inactive,Platforms,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase. Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers. Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>"
Perl,Retire,Languages and Frameworks,"<p>Perl is a high-level, general-purpose, interpreted, dynamic programming language.</p>"
PHP,Employ,Platforms,<p>PHP is a general-purpose scripting language geared towards web development.</p>
PostgreSQL DB,Employ,Platforms,<p>PostgreSQL is an open source relational database management system and is endorsed as an IIT preferred technology. Emerging LOB systems should target PostgreSQL for relational database management.</p>
PowerBI Cloud,Employ,Analytics and Business Intelligence,<p>PowerBI is a Microsoft BI Product</p>
EZproxy,Employ,Platforms,<p>Proxy server software that provides remote access to libraries' licensed databases and other online resources.</p>
Python,Employ,Languages and Frameworks,"<p>Python is a clear, general purpose and object-orientated programming language, comparable to Perl, Ruby or Java. Add IIT Context.</P>"
Quarkus,Explore,Platforms,"<p>Quarkus is a full-stack, Kubernetes-native Java framework made for Java virtual machines (JVMs) and native compilation, optimizing Java specifically for containers and enabling it to become an effective platform for serverless, cloud, and Kubernetes environments. IIT exploring use cases including in conjunction with GraalVM. Improve IIT context wording.</P>"
ARCGIS,Retire,Platforms,"<p> rcGIS is a suite of geographic information system (GIS) software products developed by Esri (Environmental Systems Research Institute). GIS is a technology that allows users to create, analyze, visualize, and manage geographic data to make informed decisions. </p>"
React.JS,Employ,Languages and Frameworks,<p>React is a free and open-source front-end JavaScript library for building user interfaces or UI components. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications.</p>
Red Hat Linux,Employ,Platforms,"<p>Red HatÃ‚Â® Enterprise LinuxÃ‚Â® is one of the most popular Linux platforms, and the favored Linux platform offered by our hosting provider DXC. ItÃ¢â‚¬â„¢s the foundation from which you can scale existing appsÃ¢â‚¬â€and roll out emerging technologiesÃ¢â‚¬â€across bare-metal, virtual, container, and all types of cloud environments.</p>"
RedHat Open JDK,Deprecate,Languages and Frameworks,"<p>Red Hat OpenJDK is a distribution of the Java Development Kit (JDK) provided and supported by Red Hat, a well-known company in the enterprise Linux and open-source software space. Red Hat OpenJDK is based on the open-source OpenJDK project and is designed to provide a stable and reliable platform for Java application development and deployment. Here are some key points about Red Hat OpenJDK.</p>"
Siteminder Agent,Deprecate,Platforms,<p>refers to a critical component of CA Single Sign-On that is responsible for enforcing access policies and ensuring secure authentication and authorization for users accessing web resources. </p>
C++,Employ,Languages and Frameworks,<p>Replaced with .NET</P>
Salesforce,Employ,Platforms,"<p> Salesforce provides customer relationship management service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.</p>"
SAS Analytics,Employ,Analytics and Business Intelligence,"<p>SAS is a statistical software suite developed by SAS Institute for data management, advanced analytics, multivariate analysis, business intelligence, criminal investigation, and predictive analytics</p>"
SAS-Analytics,Employ,Analytics and Business Intelligence,"
<p>SAS is a statistical software suite developed by SAS Institute for data management, advanced analytics, multivariate analysis, business intelligence, criminal investigation, and predictive analytics</p"
Globalscape SFTP,Employ,Platforms,"<p>  secure file transfer server solution designed to facilitate the exchange of files and data securely within organizations and between business partners. Among its many features, EFT Express supports the SFTP (Secure File Transfer Protocol) standard for secure and encrypted file transfers.</p>"
Selenium,Deprecate,Development Tools and Automation,<p> Selenium is a portable framework for testing web applications. Selenium provides a playback tool for authoring functional tests without the need to learn a test scripting language</p>
ServiceNow,Employ,Management and Monitoring,<p>Service Now is a leading ITSM tool used by help desk and the Access Team</p>
Sharepoint,Employ,Management and Monitoring,"<p>SharePoint is a web-based collaboration platform that enables organizations to create, manage, and share documents, content, and information. It includes features for document management, version control, workflow automation, and collaboration among teams and departments</p>"
Siebel,Retire,Platforms,"<p>Siebel CRM Systems, Inc. was a software company principally engaged in the design, development, marketing, and support of customer relationship management applications</p>"
Oracle Database Client,Deprecate,Platforms,"<p>Software or applications that allow users or developers to interact with a database. Database clients provide a graphical user interface (GUI) or command-line interface (CLI) for performing various database-related tasks, including querying, inserting, updating, and deleting data.</p>"
Solr,Employ,Platforms,"<p>Solr is an open-source enterprise-search platform, written in Java. Its major features include full-text search, hit highlighting, faceted search, real-time indexing, dynamic clustering, database integration, NoSQL features and rich document handling</p>"
SonarQube,Explore,Development Tools and Automation,"<p>SonarQube is an open-source platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities. IIT uses Sonarqube for code quality checking as part of the build process for container based applications.</p>"
